BusinessEntityID,PersonType,Name,HireDate,EmailPromotion,Thời Gian Gửi Đơn,Rate,KPI,Doanh Số Đạt Được,Vượt KPI,VacationHours,SickLeaveHours,Số Ngày,Quyết định Tăng Lương
1,EM,Ken J Sánchez,2009-01-14 00:00:00.000,0,,109,961622,948046,-13576,41,37,,Không
2,EM,Terri Lee Duffy,2008-01-31 00:00:00.000,1,2011-11-06 13:31:21.814,60,529333,547748,18415,62,46,1375.0,Không
3,EM,Roberto NULL Tamburello,2007-11-11 00:00:00.000,0,,114,1005733,1013724,7991,44,64,,Không
4,EM,Rob NULL Walters,2007-12-05 00:00:00.000,0,,19,167622,148817,-18805,59,53,,Không
5,EM,Gail A Erickson,2008-01-06 00:00:00.000,0,,104,917511,913677,-3834,68,67,,Không
6,EM,Jossef H Goldberg,2008-01-24 00:00:00.000,0,,58,511688,499342,-12346,72,20,,Không
7,EM,Dylan A Miller,2009-02-08 00:00:00.000,2,2011-12-07 16:44:09.109,57,502866,506008,3142,70,70,1032.0,Xem Xét
8,EM,Diane L Margheim,2008-12-29 00:00:00.000,0,,76,670488,657864,-12624,78,48,,Không
9,EM,Gigi N Matthew,2009-01-16 00:00:00.000,0,,57,502866,511492,8626,27,37,,Không
10,EM,Michael NULL Raheem,2009-05-03 00:00:00.000,2,2013-07-10 23:14:15.562,124,1093955,1076289,-17666,65,20,1529.0,Không
11,EM,Ovidiu V Cracium,2010-12-05 00:00:00.000,0,,79,696955,704040,7085,60,74,,Không
12,EM,Thierry B D'Hers,2007-12-11 00:00:00.000,2,2012-11-23 11:15:17.408,47,414644,427596,12952,34,24,1809.0,Có
13,EM,Janice M Galvin,2010-12-23 00:00:00.000,2,2013-08-09 07:37:26.011,17,149977,132325,-17652,42,77,960.0,Không
14,EM,Michael I Sullivan,2010-12-30 00:00:00.000,2,2013-07-08 19:07:55.420,13,114688,120234,5546,22,25,921.0,Có
15,EM,Sharon B Salavaria,2011-01-18 00:00:00.000,2,2012-01-15 16:32:53.257,61,538155,553658,15503,93,32,362.0,Không
16,EM,David M Bradley,2007-12-20 00:00:00.000,1,2009-03-20 10:27:49.243,11,97044,121451,24407,68,28,456.0,Không
17,EM,Kevin F Brown,2007-01-26 00:00:00.000,2,2008-11-15 23:15:25.814,124,1093955,1117285,23330,87,72,659.0,Không
18,EM,John L Wood,2011-02-07 00:00:00.000,2,2013-01-11 00:17:34.060,63,555800,574585,18785,3,24,704.0,Có
19,EM,Mary A Dempsey,2011-02-14 00:00:00.000,1,2013-07-27 13:55:00.634,101,891044,897047,6003,71,27,894.0,Không
20,EM,Wanida M Benshoof,2011-01-07 00:00:00.000,2,2013-03-28 01:10:55.263,68,599911,624627,24716,39,78,811.0,Không
21,EM,Terry J Eminhizer,2009-03-02 00:00:00.000,2,2013-09-16 04:16:44.214,42,370533,365552,-4981,75,24,1659.0,Không
22,EM,Sariya E Harnpadoungsataya,2008-12-12 00:00:00.000,0,,64,564622,560507,-4115,69,23,,Không
23,EM,Mary E Gibson,2009-01-12 00:00:00.000,0,,33,291133,287582,-3551,62,24,,Không
24,EM,Jill A Williams,2009-01-18 00:00:00.000,0,,18,158800,162512,3712,12,37,,Không
25,EM,James R Hamilton,2009-02-03 00:00:00.000,0,,26,229377,245308,15931,14,26,,Không
26,EM,Peter J Krebs,2008-12-01 00:00:00.000,0,,49,432288,418546,-13742,3,60,,Không
27,EM,Jo A Brown,2008-02-27 00:00:00.000,0,,74,652844,657074,4230,34,69,,Không
28,EM,Guy R Gilbert,2006-06-30 00:00:00.000,0,,38,335244,347434,12190,12,56,,Không
29,EM,Mark K McArthur,2009-01-23 00:00:00.000,1,2011-01-01 10:20:11.972,80,705777,710081,4304,70,44,708.0,Không
30,EM,Britta L Simon,2009-01-29 00:00:00.000,0,,40,352888,329860,-23028,40,78,,Không
31,EM,Margie W Shoop,2009-01-04 00:00:00.000,2,2009-10-13 11:06:41.211,82,723422,746838,23416,90,28,282.0,Không
32,EM,Rebecca A Laszlo,2008-12-29 00:00:00.000,1,2011-10-13 01:12:12.994,41,361711,370477,8766,75,20,1018.0,Không
33,EM,Annik O Stahl,2008-12-17 00:00:00.000,0,,63,555800,567716,11916,12,52,,Không
34,EM,Suchitra O Mohan,2009-02-16 00:00:00.000,2,2009-09-13 17:31:28.638,67,591088,586648,-4440,47,23,209.0,Không
35,EM,Brandon G Heidepriem,2009-02-08 00:00:00.000,1,2011-06-15 20:46:39.295,76,670488,692161,21673,7,67,857.0,Không
36,EM,Jose R Lugo,2009-02-10 00:00:00.000,2,2011-10-06 03:47:21.487,119,1049844,1071292,21448,98,28,968.0,Không
37,EM,Chris O Okelberry,2009-03-07 00:00:00.000,0,,67,591088,567857,-23231,33,55,,Không
38,EM,Kim B Abercrombie,2010-01-16 00:00:00.000,2,2012-09-03 08:56:04.805,40,352888,369159,16271,43,42,961.0,Có
39,EM,Ed R Dudenhoefer,2010-02-05 00:00:00.000,0,,49,432288,415747,-16541,82,44,,Không
40,EM,JoLynn M Dobney,2007-12-26 00:00:00.000,1,2011-02-18 17:08:04.068,100,882222,886374,4152,12,72,1150.0,Không
41,EM,Bryan NULL Baker,2009-01-21 00:00:00.000,0,,121,1067488,1068080,592,45,44,,Không
